ID,Brand,CPU,GPU,RAM,Storage,Screen,Operating_System,Price_USD
8303,Dell,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"14"" 4K",Windows 11,4901.21
8304,MSI,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD,"15.6"" FHD",Windows 11,1522.44
8305,Razer,AMD Ryzen 5 7600X,Intel Arc A770,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,3889.64
8306,Apple,Intel Core i5-14600K,Intel Arc A770,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 11,4926.91
8307,Asus,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"15.6"" FHD",Windows 11,2038.92
8308,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4080,64GB DDR5,512GB SSD,"17.3"" QHD",macOS Sonoma,4670.5
8309,Lenovo,Intel Core i7-14700K,Intel Arc A770,16GB DDR4,512GB SSD,"15.6"" FHD",macOS Sonoma,1889.55
8310,Asus,AMD Ryzen 9 7950X,Intel Arc A770,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 11,4637.96
8311,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4080,32GB DDR4,1TB SSD,"14"" 4K",macOS Sonoma,2220.41
8312,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,892.67
8313,Apple,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"17.3"" QHD",Ubuntu 22.04,1837.03
8314,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 10 Pro,4058.97
8315,Apple,AMD Ryzen 7 7800X,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"15.6"" FHD",Windows 11,1952.16
8316,Microsoft,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,1TB SSD,"17.3"" QHD",Ubuntu 22.04,1230.66
8317,Dell,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,2800.51
8318,Razer,Intel Core i9-14900K,Intel Arc A770,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 10 Pro,2929.6
8319,HP,Intel Core i5-14600K,NVIDIA RTX 4080,128GB DDR5,512GB SSD,"14"" 4K",macOS Sonoma,3379.12
8320,Microsoft,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,1TB SSD,"15.6"" FHD",Ubuntu 22.04,2445.83
8321,Microsoft,Intel Core i5-14600K,AMD Radeon RX 7800 XT,16GB DDR4,1TB SSD,"17.3"" QHD",macOS Sonoma,3143.5
8322,Lenovo,Intel Core i5-14600K,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"15.6"" FHD",Ubuntu 22.04,2156.62
8323,MSI,Intel Core i7-14700K,Intel Arc A770,64GB DDR5,512GB SSD,"15.6"" FHD",Windows 10 Pro,2689.09
8324,Microsoft,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"15.6"" FHD",macOS Sonoma,4527.16
8325,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,3023.61
8326,Dell,AMD Ryzen 7 7800X,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"13.3"" Retina",Windows 10 Pro,3472.99
8327,Acer,AMD Ryzen 7 7800X,Intel Arc A770,64GB DDR5,1TB SSD,"15.6"" FHD",Ubuntu 22.04,3345.19
8328,Asus,AMD Ryzen 5 7600X,AMD Radeon RX 7800 XT,16GB DDR4,2TB SSD,"14"" 4K",Windows 10 Pro,2055.26
8329,HP,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,1920.78
8330,Dell,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,16GB DDR4,2TB SSD,"15.6"" FHD",macOS Sonoma,1074.95
8331,Lenovo,AMD Ryzen 5 7600X,Intel Arc A770,128GB DDR5,2TB SSD,"13.3"" Retina",macOS Sonoma,1253.34
8332,Samsung,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,64GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,3353.57
8333,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,3831.59
8334,Acer,Intel Core i7-14700K,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"17.3"" QHD",Ubuntu 22.04,3237.0
8335,Samsung,Intel Core i7-14700K,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 11,2030.18
8336,Asus,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,4995.0
8337,Lenovo,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"14"" 4K",macOS Sonoma,2418.15
8338,Acer,Intel Core i9-14900K,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"15.6"" FHD",Ubuntu 22.04,4664.55
8339,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4090,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 11,2310.4
8340,Asus,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,16GB DDR4,2TB SSD,"17.3"" QHD",macOS Sonoma,2559.65
8341,Microsoft,Intel Core i5-14600K,Intel Arc A770,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,3735.77
8342,Razer,AMD Ryzen 9 7950X,NVIDIA RTX 4080,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,3265.79
8343,Apple,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,2687.94
8344,Dell,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"17.3"" QHD",Ubuntu 22.04,3825.99
8345,HP,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"14"" 4K",Windows 10 Pro,1743.92
8346,Dell,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,16GB DDR4,512GB SSD,"14"" 4K",macOS Sonoma,4532.84
8347,MSI,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,128GB DDR5,512GB SSD,"13.3"" Retina",Ubuntu 22.04,4986.7
8348,Acer,Intel Core i7-14700K,NVIDIA RTX 4090,16GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,3410.69
8349,Asus,Intel Core i7-14700K,NVIDIA RTX 4080,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,2048.5
8350,Razer,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Ubuntu 22.04,1965.86
8351,Microsoft,Intel Core i7-14700K,NVIDIA RTX 4090,128GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,1802.36
8352,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"15.6"" FHD",Windows 10 Pro,4586.8
8353,Razer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"15.6"" FHD",macOS Sonoma,4702.65
8354,Apple,Intel Core i7-14700K,Intel Arc A770,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,3728.31
8355,Samsung,Intel Core i9-14900K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD,"14"" 4K",Ubuntu 22.04,2433.78
8356,Dell,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,32GB DDR4,512GB SSD,"15.6"" FHD",macOS Sonoma,2342.83
8357,Apple,Intel Core i5-14600K,Intel Arc A770,16GB DDR4,512GB SSD,"13.3"" Retina",Windows 10 Pro,1862.65
8358,Dell,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,128GB DDR5,512GB SSD,"14"" 4K",Ubuntu 22.04,4380.54
8359,Dell,AMD Ryzen 5 7600X,Intel Arc A770,32GB DDR4,1TB SSD,"13.3"" Retina",Windows 11,1780.2
8360,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,1932.53
8361,HP,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"13.3"" Retina",Windows 10 Pro,848.48
8362,Dell,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"13.3"" Retina",macOS Sonoma,3788.22
8363,Samsung,AMD Ryzen 7 7800X,Intel Arc A770,32GB DDR4,512GB SSD,"13.3"" Retina",Windows 11,2527.02
8364,Dell,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,4647.14
8365,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4080,16GB DDR4,1TB SSD,"14"" 4K",macOS Sonoma,1744.59
8366,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,128GB DDR5,512GB SSD,"14"" 4K",Windows 10 Pro,4333.05
8367,Microsoft,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,2985.36
8368,HP,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"15.6"" FHD",Windows 11,2167.37
8369,Microsoft,AMD Ryzen 9 7950X,NVIDIA RTX 4080,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,3923.99
8370,Razer,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"17.3"" QHD",macOS Sonoma,748.9
8371,Samsung,AMD Ryzen 5 7600X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"15.6"" FHD",macOS Sonoma,1074.77
8372,MSI,AMD Ryzen 7 7800X,NVIDIA RTX 4080,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,2388.78
8373,Dell,AMD Ryzen 9 7950X,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,3698.81
8374,Apple,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,4335.77
8375,HP,AMD Ryzen 7 7800X,NVIDIA RTX 4090,64GB DDR5,512GB SSD,"15.6"" FHD",macOS Sonoma,3518.13
8376,Asus,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD,"15.6"" FHD",Windows 10 Pro,4709.77
8377,Acer,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"17.3"" QHD",Windows 10 Pro,1528.55
8378,MSI,AMD Ryzen 7 7800X,NVIDIA RTX 4080,64GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,2341.3
8379,Acer,Intel Core i5-14600K,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"17.3"" QHD",macOS Sonoma,2355.67
8380,Asus,AMD Ryzen 5 7600X,Intel Arc A770,32GB DDR4,512GB SSD,"15.6"" FHD",Windows 10 Pro,4232.43
8381,Razer,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,64GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,2507.37
8382,Acer,Intel Core i7-14700K,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,870.95
8383,HP,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"14"" 4K",Windows 11,2491.17
8384,Dell,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,2435.8
8385,HP,AMD Ryzen 9 7950X,NVIDIA RTX 4080,32GB DDR4,1TB SSD,"17.3"" QHD",Ubuntu 22.04,2476.5
8386,Apple,Intel Core i7-14700K,Intel Arc A770,64GB DDR5,2TB SSD,"15.6"" FHD",macOS Sonoma,1414.3
8387,Dell,AMD Ryzen 7 7800X,NVIDIA RTX 4090,64GB DDR5,2TB SSD,"14"" 4K",Windows 11,3900.56
8388,Razer,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"15.6"" FHD",macOS Sonoma,4997.11
8389,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"14"" 4K",macOS Sonoma,4328.37
8390,HP,AMD Ryzen 5 7600X,Intel Arc A770,64GB DDR5,1TB SSD,"14"" 4K",Windows 11,4277.93
8391,Apple,Intel Core i7-14700K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",Ubuntu 22.04,958.46
8392,Asus,AMD Ryzen 5 7600X,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"15.6"" FHD",Windows 10 Pro,2591.7
8393,Razer,AMD Ryzen 7 7800X,Intel Arc A770,128GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,4985.38
8394,Apple,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,128GB DDR5,2TB SSD,"15.6"" FHD",Ubuntu 22.04,4446.51
8395,Acer,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",macOS Sonoma,1374.59
8396,HP,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,16GB DDR4,512GB SSD,"13.3"" Retina",Windows 10 Pro,868.71
8397,Razer,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"15.6"" FHD",Ubuntu 22.04,3891.11
8398,HP,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,2545.94
8399,Acer,AMD Ryzen 7 7800X,NVIDIA RTX 4090,32GB DDR4,2TB SSD,"14"" 4K",Windows 10 Pro,1319.88
8400,Apple,Intel Core i7-14700K,NVIDIA RTX 4080,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,4649.14
8401,Razer,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,16GB DDR4,1TB SSD,"15.6"" FHD",Windows 10 Pro,2794.85
8402,Apple,AMD Ryzen 9 7950X,NVIDIA RTX 4080,128GB DDR5,2TB SSD,"14"" 4K",Windows 11,1457.14
8403,Acer,Intel Core i9-14900K,NVIDIA RTX 4080,128GB DDR5,1TB SSD,"17.3"" QHD",Windows 11,2582.83
8404,Dell,AMD Ryzen 5 7600X,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,3085.76
8405,Microsoft,AMD Ryzen 9 7950X,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"17.3"" QHD",Windows 11,1487.23
8406,Razer,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,2417.53
8407,HP,Intel Core i5-14600K,AMD Radeon RX 7800 XT,16GB DDR4,512GB SSD,"13.3"" Retina",Windows 11,4339.42
8408,Apple,Intel Core i9-14900K,AMD Radeon RX 7800 XT,128GB DDR5,512GB SSD,"13.3"" Retina",Windows 10 Pro,2431.2
8409,HP,Intel Core i7-14700K,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD,"14"" 4K",Windows 11,4109.21
8410,Apple,AMD Ryzen 5 7600X,Intel Arc A770,64GB DDR5,1TB SSD,"13.3"" Retina",macOS Sonoma,2003.31
8411,Dell,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,4677.74
8412,Apple,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",macOS Sonoma,1631.82
8413,Apple,Intel Core i7-14700K,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 10 Pro,3754.58
8414,Asus,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 10 Pro,1814.34
8415,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"17.3"" QHD",Ubuntu 22.04,1043.02
8416,Asus,Intel Core i5-14600K,NVIDIA RTX 4080,64GB DDR5,1TB SSD,"14"" 4K",Windows 11,833.99
8417,Microsoft,AMD Ryzen 7 7800X,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"13.3"" Retina",macOS Sonoma,3513.58
8418,Dell,Intel Core i5-14600K,Intel Arc A770,16GB DDR4,1TB SSD,"17.3"" QHD",Windows 11,3391.67
8419,Razer,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,16GB DDR4,1TB SSD,"17.3"" QHD",Ubuntu 22.04,2706.13
8420,MSI,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,128GB DDR5,512GB SSD,"14"" 4K",macOS Sonoma,3516.4
8421,Acer,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",Windows 11,4269.35
8422,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4090,128GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,4210.49
8423,Samsung,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,16GB DDR4,2TB SSD,"17.3"" QHD",Windows 11,4538.67
8424,Asus,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,32GB DDR4,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,1287.03
8425,HP,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"13.3"" Retina",Windows 10 Pro,3113.87
8426,Samsung,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,2TB SSD,"13.3"" Retina",Windows 11,4092.91
8427,Samsung,Intel Core i5-14600K,NVIDIA RTX 4090,64GB DDR5,512GB SSD,"15.6"" FHD",Windows 11,3946.01
8428,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4090,128GB DDR5,2TB SSD,"14"" 4K",macOS Sonoma,2309.74
8429,Dell,Intel Core i7-14700K,Intel Arc A770,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,3586.42
8430,Dell,Intel Core i9-14900K,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Ubuntu 22.04,1232.76
8431,Lenovo,Intel Core i9-14900K,AMD Radeon RX 7800 XT,16GB DDR4,2TB SSD,"15.6"" FHD",Windows 11,1872.85
8432,Acer,Intel Core i9-14900K,AMD Radeon RX 7800 XT,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,3938.65
8433,Lenovo,AMD Ryzen 9 7950X,Intel Arc A770,64GB DDR5,512GB SSD,"17.3"" QHD",Windows 11,2985.4
8434,Microsoft,AMD Ryzen 5 7600X,NVIDIA RTX 4080,16GB DDR4,2TB SSD,"17.3"" QHD",macOS Sonoma,1328.26
8435,Microsoft,AMD Ryzen 7 7800X,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"14"" 4K",Windows 10 Pro,4438.25
8436,Dell,Intel Core i5-14600K,NVIDIA RTX 4080,64GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 11,1265.46
8437,MSI,Intel Core i7-14700K,AMD Radeon RX 7800 XT,64GB DDR5,512GB SSD,"13.3"" Retina",Windows 11,1874.34
8438,Samsung,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,128GB DDR5,512GB SSD,"17.3"" QHD",macOS Sonoma,3039.31
8439,Microsoft,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,2TB SSD,"17.3"" QHD",Ubuntu 22.04,3865.55
8440,Lenovo,AMD Ryzen 9 7950X,Intel Arc A770,32GB DDR4,1TB SSD,"15.6"" FHD",Windows 11,990.53
8441,MSI,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,1587.4
8442,Lenovo,AMD Ryzen 9 7950X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"15.6"" FHD",Ubuntu 22.04,1747.64
8443,Razer,AMD Ryzen 5 7600X,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"13.3"" Retina",Windows 11,2158.7
8444,Dell,AMD Ryzen 7 7800X,Intel Arc A770,32GB DDR4,2TB SSD,"14"" 4K",macOS Sonoma,2759.28
8445,Apple,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD + 2TB HDD,"14"" 4K",macOS Sonoma,4301.45
8446,HP,AMD Ryzen 7 7800X,AMD Radeon RX 7900 XTX,64GB DDR5,1TB SSD,"13.3"" Retina",Ubuntu 22.04,2075.42
8447,Apple,AMD Ryzen 5 7600X,NVIDIA RTX 4080,64GB DDR5,2TB SSD,"14"" 4K",Ubuntu 22.04,2339.44
8448,Asus,Intel Core i5-14600K,NVIDIA RTX 4090,16GB DDR4,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,3285.4
8449,Microsoft,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Ubuntu 22.04,1260.27
8450,Samsung,AMD Ryzen 7 7800X,Intel Arc A770,128GB DDR5,1TB SSD,"13.3"" Retina",Windows 10 Pro,4078.0
8451,Asus,Intel Core i9-14900K,AMD Radeon RX 7800 XT,128GB DDR5,2TB SSD,"17.3"" QHD",Windows 11,1211.93
8452,Acer,AMD Ryzen 7 7800X,Intel Arc A770,32GB DDR4,2TB SSD,"15.6"" FHD",Windows 10 Pro,2263.0
8453,Acer,AMD Ryzen 5 7600X,NVIDIA RTX 4080,16GB DDR4,1TB SSD,"17.3"" QHD",macOS Sonoma,3300.79
8454,Razer,AMD Ryzen 7 7800X,NVIDIA RTX 4090,16GB DDR4,512GB SSD,"13.3"" Retina",Windows 10 Pro,1452.3
8455,MSI,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,32GB DDR4,2TB SSD,"15.6"" FHD",Windows 11,4117.9
8456,HP,Intel Core i9-14900K,NVIDIA RTX 4090,64GB DDR5,1TB SSD,"14"" 4K",Ubuntu 22.04,1028.4
8457,Asus,Intel Core i5-14600K,NVIDIA RTX 4070 Ti,64GB DDR5,512GB SSD,"13.3"" Retina",Windows 11,3773.46
8458,Dell,AMD Ryzen 5 7600X,NVIDIA RTX 4090,32GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,4084.65
8459,Lenovo,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,128GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,4521.91
8460,Asus,AMD Ryzen 5 7600X,NVIDIA RTX 4090,128GB DDR5,512GB SSD,"13.3"" Retina",Ubuntu 22.04,806.72
8461,HP,AMD Ryzen 5 7600X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD,"14"" 4K",macOS Sonoma,3387.5
8462,Asus,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"13.3"" Retina",macOS Sonoma,2759.17
8463,Dell,Intel Core i9-14900K,NVIDIA RTX 4090,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,3735.37
8464,HP,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 11,3709.63
8465,Lenovo,AMD Ryzen 7 7800X,Intel Arc A770,16GB DDR4,2TB SSD,"13.3"" Retina",macOS Sonoma,2092.76
8466,Lenovo,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"13.3"" Retina",macOS Sonoma,4901.97
8467,Apple,AMD Ryzen 5 7600X,Intel Arc A770,64GB DDR5,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,1539.43
8468,HP,Intel Core i9-14900K,NVIDIA RTX 4070 Ti,64GB DDR5,1TB SSD,"15.6"" FHD",Windows 11,3991.88
8469,Asus,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,16GB DDR4,512GB SSD,"15.6"" FHD",macOS Sonoma,2496.54
8470,Asus,AMD Ryzen 9 7950X,NVIDIA RTX 4080,64GB DDR5,1TB SSD,"14"" 4K",Windows 11,2660.74
8471,HP,AMD Ryzen 5 7600X,AMD Radeon RX 7900 XTX,32GB DDR4,512GB SSD,"17.3"" QHD",macOS Sonoma,2919.73
8472,Samsung,AMD Ryzen 9 7950X,NVIDIA RTX 4090,128GB DDR5,2TB SSD,"14"" 4K",Windows 11,2878.54
8473,Lenovo,Intel Core i5-14600K,NVIDIA RTX 4080,64GB DDR5,512GB SSD,"13.3"" Retina",macOS Sonoma,2636.85
8474,HP,Intel Core i7-14700K,NVIDIA RTX 4090,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,4814.27
8475,Asus,Intel Core i7-14700K,NVIDIA RTX 4070 Ti,128GB DDR5,1TB SSD + 2TB HDD,"13.3"" Retina",Windows 10 Pro,3174.75
8476,Dell,AMD Ryzen 9 7950X,NVIDIA RTX 4070 Ti,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Windows 10 Pro,3427.75
8477,MSI,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,32GB DDR4,1TB SSD + 2TB HDD,"15.6"" FHD",Ubuntu 22.04,3769.55
8478,Dell,AMD Ryzen 9 7950X,AMD Radeon RX 7800 XT,32GB DDR4,512GB SSD,"14"" 4K",Windows 10 Pro,3991.23
8479,Apple,Intel Core i7-14700K,NVIDIA RTX 4080,32GB DDR4,1TB SSD,"13.3"" Retina",macOS Sonoma,2948.41
8480,Acer,AMD Ryzen 9 7950X,AMD Radeon RX 7900 XTX,16GB DDR4,512GB SSD,"14"" 4K",Windows 10 Pro,4258.61
8481,MSI,AMD Ryzen 7 7800X,AMD Radeon RX 7800 XT,32GB DDR4,2TB SSD,"13.3"" Retina",Ubuntu 22.04,2086.75
8482,MSI,AMD Ryzen 9 7950X,Intel Arc A770,32GB DDR4,1TB SSD,"15.6"" FHD",Windows 10 Pro,2396.76
8483,Samsung,Intel Core i9-14900K,AMD Radeon RX 7900 XTX,64GB DDR5,512GB SSD,"15.6"" FHD",macOS Sonoma,1221.08
8484,Razer,Intel Core i5-14600K,AMD Radeon RX 7800 XT,128GB DDR5,1TB SSD + 2TB HDD,"17.3"" QHD",macOS Sonoma,2633.6
8485,Acer,AMD Ryzen 5 7600X,Intel Arc A770,16GB DDR4,1TB SSD + 2TB HDD,"14"" 4K",Windows 10 Pro,4547.77
8486,Microsoft,Intel Core i9-14900K,AMD Radeon RX 7800 XT,64GB DDR5,2TB SSD,"13.3"" Retina",Ubuntu 22.04,2654.26
8487,Microsoft,Intel Core i5-14600K,AMD Radeon RX 7900 XTX,64GB DDR5,2TB SSD,"13.3"" Retina",Windows 11,1626.36
